"chain_id","official_source","article","obligation","applicability","control","evidence_requirement","test_scenario","source_file","review_status"
"WP-KVKK-004","KVKK-DESTROY","Madde 11-12","Politikası olanlarda periyodik imha aralığı en çok 6 ay; politikası olmayanlarda şartın kalkmasından itibaren 3 ay; ilgili kişi talebi en geç 30 günde sonuçlandırılır ve üçüncü taraflara yansıtılır.","Kişisel veri işleyen veri sorumlusu; politika yükümlülüğü ve talep olgusu.","Süre kontrollü periyodik imha ve veri sahibi talebi orkestrasyonu.","İmha takvimi, süre hesapları, talep/alındı/karar, silme kanıtı ve alıcı üçüncü taraf teyidi.","Son gün sınırlarında 6 ay/3 ay/30 gün zamanlayıcılarını; aktarılmış veri için üçüncü taraf iş akışını test et.","sources/KVKK/Silme_Yok_Etme_Anonimlestirme_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-KVKK-005","KVKK-6698","Madde 9 ve yurt dışı aktarım yönetmeliği","Yurt dışı aktarımda işleme şartı ve yeterlilik veya uygun güvence; bunlar yoksa yalnız arızi haller gerekir. Standart sözleşme 5 iş gününde Kuruma bildirilir.","Yurt dışına kişisel veri aktaran veri sorumlusu/veri işleyen; veri yerleşimi tek başına değil erişim/sonraki aktarım da incelenir.","Aktarım mekanizması, sözleşme bildirimi ve sonraki aktarım kontrolü.","Aktarım envanteri, ülke/alıcı, hukuki şart, yeterlilik/standart sözleşme/BŞK/taahhüt, 5 iş günü bildirimi, sonraki aktarım kaydı.","Her dış alıcıyı geçerli mekanizmayla eşleştir; standart sözleşme bildirim süresini iş günü takviminde doğrula; mekanizmasız sürekli aktarımı engelle.","sources/KVKK/6698_KVKK_Konsolide.pdf; sources/KVKK/RG_2024-07-10_Yurt_Disina_Aktarim_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-KVKK-006","KVKK-6698","Madde 12/1-12/4","Veri sorumlusu hukuka aykırı işleme/erişimi önleyen ve muhafazayı sağlayan teknik-idari tedbirleri alır; veri işleyenle müşterek sorumluluk, gerekli denetim ve görev sonrası gizlilik vardır.","Kişisel veri işleyen veri sorumlusu ve adına işleyen taraflar.","Risk bazlı veri güvenliği, işleyen gözetimi ve periyodik denetim.","Risk değerlendirmesi, teknik/idari kontrol envanteri, veri işleyen sözleşmesi/denetimi, gizlilik taahhüdü, test sonuçları.","Yüksek riskli işleyen örneğinde sözleşme ve fiili kontrol denetimini; eski çalışanın erişim/gizlilik kontrollerini doğrula.","sources/KVKK/6698_KVKK_Konsolide.pdf","LEGAL_REVIEW_REQUIRED"
"WP-KVKK-007","KVKK-6698","Madde 12/5 ve Kurul 2019/10 uygulaması","Kanuni olmayan elde etme halinde ilgili kişi ve Kurul en kısa sürede bilgilendirilir; Kurul 72 saat içinde bildirim yorumunu uygular.","Kişisel veri ihlali yaşayan veri sorumlusu.","İhlal değerlendirme, 72 saat Kurul bildirimi ve ilgili kişi iletişimi.","Öğrenme zamanı, olay değerlendirmesi, KVKK bildirim formu/alındı, ilgili kişi metni/dağıtım kanıtı, gecikme gerekçesi.","İhlal öğrenme zamanından 72 saat sayacı başlat; eksik bilgiyle ilk bildirim ve sonradan tamamlama, hafta sonu ve gecikme eskalasyonunu test et.","sources/KVKK/6698_KVKK_Konsolide.pdf; sources/KVKK/Veri_Ihlali_72_Saat_Guncel_Duyuru.html","LEGAL_REVIEW_REQUIRED"
"WP-KVKK-008","KVKK-6698","Madde 10-13","Aydınlatma unsurları veri elde edilirken sağlanır; ilgili kişi hakları için başvuru kanalı kurulur ve başvuru en geç 30 günde sonuçlandırılır.","Kişisel veri toplayan veri sorumlusu; hak ve istisna analizi gerekir.","Sürümlü aydınlatma ve veri sahibi başvuru yönetimi.","Aydınlatma sürümü/zamanı/kabul değil sunum kanıtı, talep kimlik doğrulama, arama sonucu, karar ve teslim kaydı.","Yeni müşteri akışında veri toplanmadan doğru aydınlatma sürümünü; erişim/silme talebinde kimlik, kapsam ve 30 gün süresini test et.","sources/KVKK/6698_KVKK_Konsolide.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SIBER-001","SIBER-7545","Madde 7/1-a","Başkanlığın görev/faaliyetleri kapsamında istediği veri, bilgi, belge, donanım, yazılım ve diğer katkılar öncelikle ve zamanında iletilir.","Bilişim sistemleriyle hizmet sunan, veri toplayan/işleyen ve madde 2 kapsamındaki kuruluş; talebin varlığı gerekir.","Yetkili resmî talep alma, hukuk kontrolü ve zamanında güvenli teslim.","Talep doğrulama, kapsam/yetki, sorumlu atama, teslim paketi/hash, zaman damgası ve alındı.","Sahte ve gerçek talebi ayıran senaryoda yetki/doğruluk kontrolünü; son tarih öncesi bütünlüklü teslim ve audit izini doğrula.","sources/SIBER/7545_Siber_Guvenlik_Kanunu_Konsolide.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SIBER-002","SIBER-7545","Madde 7/1-b ve madde 16/10","Mevzuatın öngördüğü siber güvenlik tedbirleri alınır; hizmet alanında tespit edilen zafiyet veya siber olay Başkanlığa gecikmeksizin bildirilir.","Madde 7 kapsamındaki kuruluş; finansın kritik sektör olması risk/önceliği artırır.","Zafiyet/olay tespiti, gecikmeksizin Başkanlık bildirimi ve kayıt.","Varlık-kontrol envanteri, zafiyet/olay öğrenme zamanı, sınıflandırma, bildirim/alındı, düzeltme ve kök neden.","Kritik zafiyet ve olay enjeksiyonunda bildirim kararını ve geçen süreyi ölç; toplama arızasını olay yokluğu değil UNKNOWN üretir şekilde test et.","sources/SIBER/7545_Siber_Guvenlik_Kanunu_Konsolide.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SIBER-003","SIBER-7545","Madde 7/1-c","Kamu kurumları ve kritik altyapılarda kullanılacak siber güvenlik ürün/sistem/hizmetleri Başkanlıkça yetkilendirilmiş ve belgelendirilmiş taraflardan tedarik edilir.","Kuruluş/varlık kritik altyapı kapsamında ve tedarik konusu siber güvenlik ürünü/sistemi/hizmeti ise.","Yetkili tedarikçi ve sertifika kapısı.","Kritik varlık kararı, tedarik sınıfı, Başkanlık yetki/belge doğrulaması, sözleşme ve geçerlilik tarihi.","Süresi dolmuş veya yetkisiz tedarikçiyi satın alma/onboarding aşamasında engelle; belge doğrulama kaydını üret.","sources/SIBER/7545_Siber_Guvenlik_Kanunu_Konsolide.pdf; sources/SIBER/2026-05-05_Kritik_Altyapi_Sektorleri_Aciklamasi.html","LEGAL_REVIEW_REQUIRED"
"WP-SIBER-004","SIBER-7545","Madde 7/1-d ve madde 8/4","Başkanlığın politika/strateji/eylem planı ve düzenleyici işlemleri yerine getirilir; denetimde sistem ve altyapı verilen sürede erişilebilir/çalışır tutulur ve gerekli kolaylık sağlanır.","Madde 7/8 kapsamındaki kuruluş; somut düzenleyici işlem veya denetim talebi gerekir.","Düzenleyici değişiklik takibi ve denetim hazırlığı.","Resmî kaynak değişiklik kaydı, uygulanabilirlik/onay, aksiyon; denetim veri odası, sistem erişimi ve chain-of-custody.","Yeni Başkanlık işlemi yayımlandığında kaynak→madde→yükümlülük sürümünü aç; denetim provasında seçilen kanıtı süreli ve değişmez paketle sun.","sources/SIBER/7545_Siber_Guvenlik_Kanunu_Konsolide.pdf","LEGAL_REVIEW_REQUIRED"
"WP-CRYPTO-001","MASAK-29","Madde 4","KVHS'ler sıkılaştırılmış müşteri tedbirleri, risk politikasında işlem/tutar sınırı, çekimde 48 saat/ilk çekimde 72 saat, belirli varlıklarda limit, en az 20 karakter işlem açıklaması ve istisnada yönetim kurulu onayı/sürekli izleme uygular.","Kripto varlık hizmet sağlayıcı/platform; fıkra bazında işlem ve müşteri türü olguları gerekir.","KYC, transfer bekleme/limit/açıklama ve onaylı istisna izleme.","Müşteri risk/KYC, işlem zamanları/limit sayaçları/açıklama, yönetim kurulu onayı, varlık kaynağı ve sürekli izleme logları.","Yeni/normal çekimlerde 72/48 saat, günlük/aylık limit ve 20 karakteri sınır değerlerde test et; onaysız istisnayı engelle ve onaylı müşteriyi izlemeye al.","sources/KRIPTO_MASAK/RG_2025-06-28_MASAK_Genel_Teblig_29.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-018","SPK-III-42.1","Madde 1 ve ilgili süreç maddeleri; 2026 değişikliği","Uzaktan müşteri kabulü ve elektronik sözleşme süreci; 2026 değişikliğiyle KVHS kapsamı da dâhil edilerek kimlik, canlılık, iletişim ve kayıt kontrollerine tabi olur.","Uzaktan müşteri kabul eden aracı kurum, portföy yönetim şirketi veya KVHS.","Uzaktan kimlik tespiti ve elektronik sözleşme kanıt zinciri.","Kapsam/rol, risk değerlendirmesi, canlılık-belge-doğrulama sonuçları, görüşme/süreç kayıtları, elektronik sözleşme ve değişmez zaman damgası.","Replay/deepfake, sahte belge, bağlantı kesilmesi ve başkasına ait iletişim aracı senaryolarında güvenli reddi; başarılı akışta tam kanıt zincirini doğrula.","sources/SPK/III-42.1_Uzaktan_Kimlik_Tespiti_2026.pdf","LEGAL_REVIEW_REQUIRED"
